Game,Notes,Console,Hours
Donkey Kong Country: Tropical Freeze,,Switch,10.5
Mario Golf,Switch Online (GB),Switch,11
Pokemon Stadium,Switch Online (N64),Switch,11
Pikmin 2,,Switch,11.5
Chibi-Robo,Switch Online (GCN),Switch,12
Ghost Trick: Phantom Detective,Modern Remaster,Switch,12
Tunic,,Switch,12.5
Luigi's Mansion 3,,Switch,13
Metroid Prime Remastered,,Switch,14
The Legend of Zelda: Link's Awakening,2019 Remake,Switch,14
Super Mario Sunshine,3D All Stars,Switch,15
The Legend of Zelda: A Link To The Past,Switch Online (SNES),Switch,15
The Legend of Zelda: Oracle of Seasons,Switch Online (GB),Switch,15
The Legend of Zelda: The Minish Cap,Switch Online (GBA),Switch,15.5
Another Code R - A Journey Into Lost Memories,Recollection Remake,Switch,16
Landstalker,Switch Online (GEN),Switch,16
Sonic Frontiers,,Switch,16.5
The Legend of Zelda: Oracle of Ages,Switch Online (GB),Switch,16.5
Earthbound Beginnings,Switch Online (NES),Switch,17
Pokemon Mystery Dungeon: Red Rescue Team,Switch Online (GBA),Switch,18.5
Pokemon Stadium 2,Switch Online (N64),Switch,19
Astral Chain,,Switch,20.5
Suikoden I,HD Remaster,Switch,20.5
Mario + Rabbids Kingdom Battle,,Switch,21.5
AI: The Somnium Files,,Switch,23
Jack Jeanne,,Switch,23
Pokemon Colosseum,Switch Online (GCN),Switch,23.5
Fire Emblem: The Sacred Stones,Switch Online (GBA),Switch,24
Super Smash Bros Ultimate,,Switch,24
Donkey Kong 64,Switch Online (N64),Switch,25.5
Spiritfarer,,Switch,25.5
AI: The Somnium Files - nirvanA Initiative,,Switch,27
Fire Emblem,Switch Online (GBA),Switch,27
Hollow Knight,,Switch,27
Paper Mario: The Origami King,,Switch,27
Pokemon XD: Gale of Darkness,Switch Online (GCN),Switch,27
Breath of Fire,Switch Online (SNES),Switch,27.5
Earthbound,Switch Online (SNES),Switch,28
Sea of Stars,,Switch,28
Paper Mario: The Thousand Year Door,Modern Remaster,Switch,31
The Legend of Zelda: Skyward Sword HD,,Switch,31
Golden Sun: The Lost Age,Switch Online (GBA),Switch,31.5
Fire Emblem: Path of Radiance,Switch Online (GCN),Switch,33
Okami HD,,Switch,33
Suikoden II,HD Remaster,Switch,33.5
Breath of Fire II,Switch Online (SNES),Switch,34
Triangle Strategy,,Switch,34.5
Crosscode,,Switch,35.5
